MoleculeName
UniProt:P04430 IGKV1-16
UniProt:P01599 IGKV1-17
UniProt:P06312 IGKV4-1
UniProt:A0A0C4DH25 IGKV3D-20
UniProt:P01593 IGKV1D-33
UniProt:A0A075B6P5 IGKV2-28
UniProt:P01834 IGKC
UniProt:P01615 IGKV2D-28
UniProt:P01611 IGKV1D-12
UniProt:P01704 IGLV2-14
UniProt:P01706 IGLV2-11
UniProt:P01709 IGLV2-8
UniProt:P01718 IGLV3-27
UniProt:P01701 IGLV1-51
UniProt:P04211 IGLV7-43
UniProt:P01705 IGLV2-23
UniProt:P01717 IGLV3-25
UniProt:P01703 IGLV1-40
UniProt:P80748 IGLV3-21
UniProt:P01714 IGLV3-19
UniProt:P01715 IGLV3-1
UniProt:P01699 IGLV1-44
UniProt:P01700 IGLV1-47
UniProt:P01721 IGLV6-57
UniProt:P0CF74 IGLC6
UniProt:P0DOY2 IGLC2
UniProt:P0DOY3 IGLC3
UniProt:P0CG04 IGLC1
UniProt:A0M8Q6 IGLC7
UniProt:P01871 IGHM
UniProt:P11912 CD79A
UniProt:P40259 CD79B
UniProt:O00221 NFKBIE
UniProt:Q04864 REL
UniProt:P05771 PRKCB
UniProt:Q8IV61 RASGRP3
UniProt:P63098 PPP3R1
UniProt:P16298 PPP3CB
UniProt:Q08209 PPP3CA
UniProt:P0DP23 CALM1
UniProt:Q13469 NFATC2
UniProt:Q12968 NFATC3
UniProt:O95644 NFATC1
UniProt:P62942 FKBP1A
UniProt:Q9UN19 DAPP1
UniProt:P15391 CD19
UniProt:Q14643 ITPR1
UniProt:Q14573 ITPR3
UniProt:Q14571 ITPR2
UniProt:Q13586 STIM1
UniProt:Q96SN7 ORAI2
UniProt:Q96D31 ORAI1
UniProt:Q96B97 SH3KBP1
